year,quarter,num_of_chargers,year_quarter,Quarter,Sales,built_cum,sold_cum
2015.0,4.0,218.0,2015.4,2015-12-31,17400,218.0,17400
2016.0,1.0,84.0,2016.1,2016-03-31,14800,302.0,32200
2016.0,2.0,176.0,2016.2,2016-06-30,14400,478.0,46600
2016.0,3.0,202.0,2016.3,2016-09-30,24500,680.0,71100
2016.0,4.0,299.0,2016.4,2016-12-31,22200,979.0,93300
2017.0,1.0,106.0,2017.1,2017-03-31,25000,1085.0,118300
2017.0,2.0,184.0,2017.2,2017-06-30,22000,1269.0,140300
2017.0,3.0,324.0,2017.3,2017-09-30,26200,1593.0,166500
2017.0,4.0,524.0,2017.4,2017-12-31,29900,2117.0,196400
2018.0,1.0,285.0,2018.1,2018-03-31,30000,2402.0,226400
2018.0,2.0,506.0,2018.2,2018-06-30,40700,2908.0,267100
2018.0,3.0,319.0,2018.3,2018-09-30,83500,3227.0,350600
2018.0,4.0,386.0,2018.4,2018-12-31,90700,3613.0,441300
2019.0,1.0,340.0,2019.1,2019-03-31,63000,3953.0,504300
2019.0,2.0,462.0,2019.2,2019-06-30,95200,4415.0,599500
2019.0,3.0,381.0,2019.3,2019-09-30,97000,4796.0,696500
2019.0,4.0,505.0,2019.4,2019-12-31,112000,5301.0,808500
2020.0,1.0,520.0,2020.1,2020-03-31,88400,5821.0,896900
2020.0,2.0,374.0,2020.2,2020-06-30,90700,6195.0,987600
2020.0,3.0,573.0,2020.3,2020-09-30,139300,6768.0,1126900
2020.0,4.0,824.0,2020.4,2020-12-31,180600,7592.0,1307500
