title,location_id,nid,address,city,state_code,zip_code,chargers,common_name,open_soon,latitude,longitude,location_type,num_of_chargers,power,id,date_opened,state_name,population_2019,site_size
"Albany, NY Supercharger",albanysupercharger,6293,131 Colonie Center,Albany,NY,12205,"<p><strong>Charging</strong><br />6 Superchargers, available 24/7, up to 150kW</p>",Colonie Center,0,42.710356,-73.819109,"['supercharger', 'standard charger']",6.0,150.0,160.0,2014-04-30,New York,19453561.0,low
"JFK - Queens, NY Supercharger",jfksupercharger,6407,150th Ave and 147th St,Queens,NY,11430,"<p><strong>Charging</strong><br />4 Superchargers, available 24/7, up to 150kW</p>",JFK Airport Travel Plaza,0,40.66319,-73.793192,"['supercharger', 'standard charger']",4.0,150.0,161.0,2013-12-23,New York,19453561.0,low
Utica Supercharger,uticanysupercharger,7654,50 Auert Ave.,Utica,NY,13501,"<p><strong>Charging</strong><br />8 superchargers, available 24/7, up to 150kW</p>",North Utica Shopping Center,0,43.113878,-75.206857,"['supercharger', 'standard charger']",8.0,150.0,545.0,2015-02-11,New York,19453561.0,medium
Syracuse Supercharger,syracusesupercharger,9018,441 Electronics Parkway,Liverpool,NY,13088,"<p><strong>Charging</strong><br />8 superchargers, available 24/7, up to 150kW</p>",Holiday Inn Syracuse/Liverpool,0,43.102424,-76.187446,"['supercharger', 'standard charger']",8.0,150.0,547.0,2015-04-16,New York,19453561.0,medium
Buffalo Supercharger,buffalosupercharger,9563,4455 Transit Road,Buffalo,NY,14221,"<p><strong>Charging</strong><br />8 superchargers, available 24/7, up to 150kW</p>",Shops at Main / Transit,0,42.968675,-78.69568,"['supercharger', 'standard charger']",8.0,150.0,415.0,2015-06-11,New York,19453561.0,medium
Newburgh Supercharger,newburghsupercharger,9806,1217 NY-300,Newburgh,NY,12550,"<p><strong>Charging</strong><br />6 superchargers, available 24/7, up to 150kW</p>",Cosimo's on Union,0,41.499616,-74.071324,"['supercharger', 'standard charger']",6.0,150.0,592.0,2015-06-23,New York,19453561.0,low
Binghamton Supercharger,binghamtonsupercharger,12306,1062 Front Street,Binghamton,NY,13905,"<p><strong>Charging</strong><br />8 superchargers, available 24/7, up to 150kW</p>",The Spot Restaurant,0,42.145542,-75.902081,"['supercharger', 'standard charger']",8.0,150.0,717.0,2015-11-01,New York,19453561.0,medium
Southampton Supercharger,southamptonsupercharger,18154,850 County Road 39,Southampton,NY,11968,"<p><strong>Charging</strong><br/>8 superchargers, available 24/7, up to 150kW</p>",Cafe Crust,0,40.891909,-72.426995,"['supercharger', 'standard charger']",8.0,150.0,817.0,2016-06-03,New York,19453561.0,medium
Plattsburgh Supercharger,plattsburghsupercharger,18350,60 Smithfield Blvd,Plattsburgh,NY,12901,"<p><strong>Charging</strong><br/>8 superchargers, available 24/7, up to 150kW</p>",Champlain Centre,0,44.704537,-73.491829,"['supercharger', 'standard charger']",8.0,150.0,822.0,2016-06-09,New York,19453561.0,medium
Watertown Supercharger,watertownsupercharger,18633,21182 Salmon Run Mall Loop W,Watertown,NY,13601,"<p><strong>Charging</strong><br/>8 superchargers, available 24/7, up to 150kW</p>",Salmon Run Mall,0,43.979585,-75.954114,"['supercharger', 'standard charger']",8.0,150.0,869.0,2016-06-24,New York,19453561.0,medium
Queensbury Supercharger,queensburysupercharger,19169,578 Aviation Road,Queensbury,NY,12804,"<p><strong>Charging</strong><br/>8 superchargers, available 24/7, up to 150kW</p>",Aviation Mall,0,43.328388,-73.679992,"['supercharger', 'standard charger']",8.0,150.0,883.0,2016-07-15,New York,19453561.0,medium
Kingston Supercharger,kingstonnysupercharger,21115,640 Washington Ave.,Kingston,NY,12401,"<p><strong>Charging</strong><br/>8 superchargers, available 24/7, up to 150kW</p>",QuickChek,0,41.941893,-74.027428,"['supercharger', 'standard charger']",8.0,150.0,924.0,2016-10-18,New York,19453561.0,medium
Tarrytown Supercharger,tarrytownsupercharger,23018,600 White Plains Road,Tarrytown,NY,10591-5104,"<p><strong>Charging</strong><br/>12 superchargers, available 24/7, up to 150kW</p>",Sheraton Tarrytown Hotel,0,41.0615,-73.836457,"['supercharger', 'standard charger']",12.0,150.0,925.0,2016-12-02,New York,19453561.0,medium
